id,class_label
0,财经
1,教育
2,体育
4,时政
6,房产
7,娱乐
8,家居
9,时尚
11,科学
12,时政
13,家居
14,娱乐
15,财经
17,家居
18,娱乐
19,房产
21,科学
22,娱乐
23,家居
26,财经
28,财经
30,时政
31,科学
33,家居
34,财经
35,教育
36,教育
38,财经
39,财经
40,时政
41,家居
42,娱乐
43,财经
44,教育
45,财经
47,财经
48,科学
50,时政
53,财经
54,家居
55,房产
58,家居
59,教育
60,娱乐
61,时政
62,娱乐
63,娱乐
64,科学
65,家居
66,财经
67,财经
69,家居
70,体育
71,房产
72,房产
73,家居
74,时尚
77,房产
78,时政
80,时尚
82,财经
83,娱乐
84,教育
86,房产
90,科学
91,财经
92,家居
97,房产
98,体育
99,体育
100,时政
101,娱乐
103,财经
104,房产
105,科学
107,家居
108,娱乐
109,时政
110,时尚
112,体育
115,家居
116,房产
119,娱乐
120,娱乐
121,科学
122,体育
123,时政
124,娱乐
125,房产
126,娱乐
127,房产
128,娱乐
129,房产
131,家居
132,家居
133,时尚
134,时尚
135,时尚
136,财经
137,教育
138,时尚
140,娱乐
141,家居
142,时尚
143,体育
145,游戏
146,时尚
147,时政
149,教育
152,时尚
153,体育
154,财经
156,时尚
157,房产
158,教育
159,科学
161,教育
162,财经
163,娱乐
167,体育
168,教育
170,时政
171,家居
175,房产
176,财经
181,房产
182,时尚
183,娱乐
184,时尚
185,家居
187,科学
188,科学
189,时尚
191,财经
192,家居
194,财经
195,财经
196,房产
197,娱乐
199,体育
200,财经
201,游戏
202,时尚
203,教育
205,科学
206,时政
207,财经
209,家居
210,体育
211,娱乐
212,娱乐
215,家居
216,时政
218,时政
219,时政
220,时尚
221,科学
222,家居
223,娱乐
224,家居
225,教育
229,教育
230,体育
231,时尚
234,科学
235,家居
237,房产
239,房产
240,娱乐
241,体育
243,财经
246,时政
247,娱乐
249,游戏
250,家居
253,财经
254,时尚
255,娱乐
256,时政
257,科学
258,科学
259,教育
261,时尚
262,财经
264,时尚
265,房产
266,财经
267,时政
268,科学
270,房产
271,时政
274,财经
275,体育
277,娱乐
278,体育
279,家居
283,房产
284,教育
285,教育
287,科学
289,科学
290,教育
291,房产
293,财经
295,时政
296,财经
298,财经
299,家居
300,科学
302,家居
303,娱乐
